fecha,categoria,segmento,is_weekend,month,promo_active,units_sold,revenue
2023-01-01,Mujer,Mujer,1,1,0,4,88.08
2023-01-01,Mujer,Hombre,1,1,1,4,215.91
2023-01-01,Mujer,Niños,1,1,0,4,98.22
2023-01-01,Mujer,Unisex,1,1,0,3,115.84
2023-01-01,Hombre,Mujer,1,1,1,6,213.14
2023-01-01,Hombre,Hombre,1,1,0,3,51.27
2023-01-01,Hombre,Niños,1,1,0,2,91.49
2023-01-01,Hombre,Unisex,1,1,0,5,114.01
2023-01-01,Niños,Mujer,1,1,0,2,48.71
2023-01-01,Niños,Hombre,1,1,0,2,105.81
2023-01-01,Niños,Niños,1,1,0,5,94.91
2023-01-01,Niños,Unisex,1,1,0,3,88.92
2023-01-01,Accesorios,Mujer,1,1,0,2,55.28
2023-01-01,Accesorios,Hombre,1,1,0,5,112.19
2023-01-01,Accesorios,Niños,1,1,0,4,206.78
2023-01-01,Accesorios,Unisex,1,1,0,3,149.12
2023-01-01,Calzado,Mujer,1,1,0,0,0.0
2023-01-01,Calzado,Hombre,1,1,1,6,173.97
2023-01-01,Calzado,Niños,1,1,0,3,108.75
2023-01-01,Calzado,Unisex,1,1,0,5,246.18
2023-01-02,Mujer,Mujer,0,1,0,1,24.08
2023-01-02,Mujer,Hombre,0,1,0,2,75.77
2023-01-02,Mujer,Niños,0,1,0,2,50.59
2023-01-02,Mujer,Unisex,0,1,0,4,89.02
2023-01-02,Hombre,Mujer,0,1,0,1,54.75
2023-01-02,Hombre,Hombre,0,1,0,2,39.9
2023-01-02,Hombre,Niños,0,1,0,3,67.23
2023-01-02,Hombre,Unisex,0,1,0,1,46.16
2023-01-02,Niños,Mujer,0,1,0,2,66.35
2023-01-02,Niños,Hombre,0,1,0,1,47.05
2023-01-02,Niños,Niños,0,1,0,3,100.49
2023-01-02,Niños,Unisex,0,1,0,1,43.55
2023-01-02,Accesorios,Mujer,0,1,0,2,90.49
2023-01-02,Accesorios,Hombre,0,1,0,0,0.0
2023-01-02,Accesorios,Niños,0,1,0,3,57.19
2023-01-02,Accesorios,Unisex,0,1,0,3,70.18
2023-01-02,Calzado,Mujer,0,1,0,2,76.09
2023-01-02,Calzado,Hombre,0,1,0,3,68.54
2023-01-02,Calzado,Niños,0,1,0,4,121.39
2023-01-02,Calzado,Unisex,0,1,0,3,163.44
